transaction_number,T_date,transaction_type,Punk_Nr,T_from,T_to,amount
687,2021-03-08,8,259,8,8,81655
688,2021-03-07,8,259,8,8,168551
689,2021-03-07,8,259,8,8,827340
690,2021-03-07,1,259,4,170,0
691,2021-03-05,1,259,5,4,0
692,2021-02-04,1,259,6,5,0
693,2017-06-23,4,259,8,6,0
694,2022-03-28,1,260,171,172,0
695,2022-03-04,1,260,173,171,0
696,2021-08-27,8,260,8,8,1.46M
697,2021-08-23,8,260,8,8,918984
698,2021-08-07,8,260,8,8,624604
699,2021-08-07,7,260,8,8,0
700,2021-08-06,8,260,8,8,1.38M
701,2021-08-06,9,260,174,173,484538
702,2021-08-06,2,260,173,8,459619
